locationID,latitude,longitude,date,voyageID,snow,airTemp,pressure,winddirection,windSpeed,gusts,rain,fog,thunder,hail,seaIce
18106,1757-05-13,2.1,2.1,Lucius OBryen,RN,British,Bona Vista,St Helena,English,obsLanguage,English
18853,1757-10-13,34.6333,34.6333,Lucius OBryen,RN,British,Ferdinando Loronho,UK,English,obsLanguage,English
19959,1758-05-13,-15.6667,-15.6667,Lucius OBryen,RN,British,Madeira,St Helena,English,obsLanguage,English
20734,1760-03-23,33.1167,33.1167,Lucius OBryen,RN,British,Plymouth,Madeira,English,obsLanguage,English
18968,1752-02-06,26.3,26.3,Roger Mainwaring,RN,British,Gravesend,Madras,English,obsLanguage,English
21690,1760-07-26,7.25,7.25,Lucius OBryen,RN,British,St Helena,UK,English,obsLanguage,English
21807,1790-05-21,46.3667,46.3667,Issac George Manley,RN,British,St Thomas,Spithead,English,obsLanguage,English
17766,1789-05-24,33.1833,33.1833,Issac George Manley,RN,British,Barbados,Spithead,English,obsLanguage,English
19218,1805-06-08,39.6667,39.6667,G.H. Creyke,RN,British,Jamaica,Cork,English,obsLanguage,English
19946,1768-10-13,7.01667,7.01667,James Cook,RN,British,Madeira,Rio de Janeiro,English,obsLanguage,English
22101,1769-02-03,-58.55,-58.55,James Cook,RN,British,Tierra del Fuego,Tahiti,English,obsLanguage,English
18302,1771-05-31,18.8333,18.8333,James Cook,RN,British,Cape of Good Hope,UK,English,obsLanguage,English
21988,1769-09-21,-30.0,-30.0,James Cook,RN,British,Tahiti,New Zealand,English,obsLanguage,English
19245,1771-02-05,-18.1,-18.1,James Cook,RN,British,Java,Cape of Good Hope,English,obsLanguage,English
20721,1757-01-01,43.2667,43.2667,Richard Howe,RN,British,Plymouth,Ferrol Harbour - cruising the western approaches,English,obsLanguage,English
21702,1757-05-14,50.7333,50.7333,Richard Howe,RN,British,St Helens,cruising western approaches,English,obsLanguage,English
18770,1758-01-11,46.0833,46.0833,Robert Digby,RN,British,Dunnoze,Plymouth - cruising western approaches,English,obsLanguage,English
19784,1757-10-23,42.8667,42.8667,Robert Digby,RN,British,La Rochelle,Spithead,English,obsLanguage,English
22169,1758-05-05,46.4167,46.4167,Robert Digby,RN,British,Ushant,Southsea,English,obsLanguage,English
18535,1758-11-21,37.57,37.57,Robert Digby,RN,British,Cork,Goree,English,obsLanguage,English
21494,1756-04-01,16.4167,16.4167,Maurice Suckling,RN,British,Spithead ,Nevis,English,obsLanguage,English
18869,1760-08-07,42.2333,42.2333,Maurice Suckling,RN,British,Florida Keys,Downs (England),English,obsLanguage,English
22091,1750-12-12,4.71667,4.71667,,RN,British,The Bananas,Dixcove,English,obsLanguage,English
19194,1763-09-27,54.6167,54.6167,William Norton,Hudson Bay Company,British,Hudson Bay Moose,Gravesend,English,obsLanguage,English
18964,1763-07-11,55.4333,55.4333,William Norton,Hudson Bay Company,British,Gravesend,Hudson Bay Moose,English,obsLanguage,English
18960,1760-07-23,60.4,60.4,,Hudson Bay Company,British,Gravesend,Hudson Bay,English,obsLanguage,English
18965,1761-07-12,59.1667,59.1667,,Hudson Bay Company,British,Gravesend,Hudson Bay Moose,English,obsLanguage,English
18959,1767-07-01,51.45,51.45,,Hudson Bay Company,British,Gravesend,Churchill,English,obsLanguage,English
21917,1750-03-12,19.7,19.7,John Lloyd,RN,British,Table Bay,Lisbon,English,obsLanguage,English
19833,1750-05-19,48.3333,48.3333,John Lloyd,RN,British,Lisbon,UK,English,obsLanguage,English
